country_id,region,happiness_score
Country_01,Region_A,7.2
Country_02,Region_A,6.3
Country_03,Region_A,7.5
Country_04,Region_A,7.6
Country_05,Region_A,5.7
Country_06,Region_A,6.2
Country_07,Region_A,7.1
Country_08,Region_A,6.8
Country_09,Region_A,7.0
Country_10,Region_A,6.4
Country_11,Region_B,6.8
Country_12,Region_B,6.7
Country_13,Region_B,6.2
Country_14,Region_B,6.9
Country_15,Region_B,6.5
Country_16,Region_B,5.6
Country_17,Region_B,6.4
Country_18,Region_B,5.6
Country_19,Region_B,6.8
Country_20,Region_B,6.2
Country_21,Region_C,5.4
Country_22,Region_C,5.1
Country_23,Region_C,6.3
Country_24,Region_C,5.4
Country_25,Region_C,5.2
Country_26,Region_C,5.3
Country_27,Region_C,5.8
Country_28,Region_C,5.7
Country_29,Region_C,5.8
Country_30,Region_C,5.8
Country_31,Region_D,6.2
Country_32,Region_D,4.5
Country_33,Region_D,4.5
Country_34,Region_D,4.3
Country_35,Region_D,5.2
Country_36,Region_D,5.5
Country_37,Region_D,4.7
Country_38,Region_D,4.3
Country_39,Region_D,4.3
Country_40,Region_D,5.2
