trial_id,region,transport,rainy_day
1,Region_A,Train,Yes
2,Region_A,Train,No
3,Region_A,Train,No
4,Region_A,Train,No
5,Region_A,Train,No
6,Region_A,Train,No
7,Region_A,Train,No
8,Region_A,Train,No
9,Region_A,Train,No
10,Region_A,Train,No
11,Region_A,Train,No
12,Region_A,Train,No
13,Region_A,Bus,No
14,Region_A,Bus,No
15,Region_A,Bus,No
16,Region_A,Bus,No
17,Region_A,Bus,No
18,Region_A,Bus,No
19,Region_A,Car,Yes
20,Region_A,Car,Yes
21,Region_A,Car,Yes
22,Region_A,Car,Yes
23,Region_A,Car,Yes
24,Region_A,Bicycle,Yes
25,Region_A,Bicycle,Yes
26,Region_B,Train,Yes
27,Region_B,Train,Yes
28,Region_B,Train,Yes
29,Region_B,Train,No
30,Region_B,Train,No
31,Region_B,Train,No
32,Region_B,Train,No
33,Region_B,Train,No
34,Region_B,Bus,No
35,Region_B,Bus,No
36,Region_B,Bus,No
37,Region_B,Bus,No
38,Region_B,Bus,No
39,Region_B,Bus,No
40,Region_B,Bus,No
41,Region_B,Bus,No
42,Region_B,Car,No
43,Region_B,Car,No
44,Region_B,Car,Yes
45,Region_B,Car,Yes
46,Region_B,Car,Yes
47,Region_B,Car,Yes
48,Region_B,Car,Yes
49,Region_B,Bicycle,Yes
50,Region_B,Bicycle,Yes
51,Region_C,Train,Yes
52,Region_C,Train,Yes
53,Region_C,Train,Yes
54,Region_C,Train,Yes
55,Region_C,Train,Yes
56,Region_C,Bus,No
57,Region_C,Bus,No
58,Region_C,Bus,No
59,Region_C,Bus,No
60,Region_C,Bus,No
61,Region_C,Bus,No
62,Region_C,Bus,No
63,Region_C,Bus,No
64,Region_C,Bus,No
65,Region_C,Car,No
66,Region_C,Car,No
67,Region_C,Car,No
68,Region_C,Car,No
69,Region_C,Car,Yes
70,Region_C,Car,Yes
71,Region_C,Car,Yes
72,Region_C,Car,Yes
73,Region_C,Bicycle,Yes
74,Region_C,Bicycle,Yes
75,Region_C,Bicycle,Yes
76,Region_D,Train,Yes
77,Region_D,Train,Yes
78,Region_D,Train,Yes
79,Region_D,Bus,Yes
80,Region_D,Bus,Yes
81,Region_D,Bus,Yes
82,Region_D,Bus,Yes
83,Region_D,Bus,Yes
84,Region_D,Bus,No
85,Region_D,Car,No
86,Region_D,Car,No
87,Region_D,Car,No
88,Region_D,Car,No
89,Region_D,Car,No
90,Region_D,Car,No
91,Region_D,Car,No
92,Region_D,Car,No
93,Region_D,Car,No
94,Region_D,Car,Yes
95,Region_D,Car,Yes
96,Region_D,Car,Yes
97,Region_D,Bicycle,Yes
98,Region_D,Bicycle,Yes
99,Region_D,Bicycle,Yes
100,Region_D,Bicycle,Yes
