delivery_id,delivery_time_minutes
Delivery_01,24.8
Delivery_02,28.1
Delivery_03,29.4
Delivery_04,30.2
Delivery_05,31.7
Delivery_06,32.5
Delivery_07,33.1
Delivery_08,34.6
Delivery_09,35.0
Delivery_10,35.8
Delivery_11,36.4
Delivery_12,37.2
Delivery_13,37.9
Delivery_14,38.5
Delivery_15,39.1
Delivery_16,39.8
Delivery_17,40.3
Delivery_18,40.9
Delivery_19,41.5
Delivery_20,42.0
Delivery_21,42.6
Delivery_22,43.1
Delivery_23,43.7
Delivery_24,44.2
Delivery_25,44.8
Delivery_26,45.3
Delivery_27,45.9
Delivery_28,46.5
Delivery_29,47.1
Delivery_30,47.8
Delivery_31,48.4
Delivery_32,49.0
Delivery_33,49.7
Delivery_34,50.4
Delivery_35,51.1
Delivery_36,51.8
Delivery_37,52.6
Delivery_38,53.4
Delivery_39,54.3
Delivery_40,55.2
Delivery_41,56.1
Delivery_42,57.0
Delivery_43,58.2
Delivery_44,59.4
Delivery_45,60.7
Delivery_46,62.0
Delivery_47,63.5
Delivery_48,65.1
Delivery_49,67.0
Delivery_50,70.2
