household_id,region,monthly_spending_usd
Household_0001,Region_C,235.2
Household_0002,Region_B,335.8
Household_0003,Region_D,289.9
Household_0004,Region_C,260.4
Household_0005,Region_A,274.2
Household_0006,Region_D,300.3
Household_0007,Region_C,309.9
Household_0008,Region_C,221.0
Household_0009,Region_A,222.7
Household_0010,Region_B,345.8
Household_0011,Region_B,262.3
Household_0012,Region_D,210.1
Household_0013,Region_C,300.4
Household_0014,Region_D,313.5
Household_0015,Region_B,200.8
Household_0016,Region_A,292.6
Household_0017,Region_C,316.5
Household_0018,Region_A,300.6
Household_0019,Region_D,322.8
Household_0020,Region_C,198.8
Household_0021,Region_C,294.2
Household_0022,Region_B,268.4
Household_0023,Region_D,261.4
Household_0024,Region_D,335.9
Household_0025,Region_C,357.4
Household_0026,Region_A,378.7
Household_0027,Region_B,357.3
Household_0028,Region_A,274.0
Household_0029,Region_A,299.4
Household_0030,Region_C,318.2
Household_0031,Region_C,282.7
Household_0032,Region_D,295.2
Household_0033,Region_B,330.3
Household_0034,Region_B,281.7
Household_0035,Region_B,244.9
Household_0036,Region_A,257.2
Household_0037,Region_A,314.9
Household_0038,Region_B,285.2
Household_0039,Region_A,298.7
Household_0040,Region_C,312.9
Household_0041,Region_B,264.4
Household_0042,Region_D,329.6
Household_0043,Region_C,296.8
Household_0044,Region_B,217.1
Household_0045,Region_D,367.3
Household_0046,Region_D,260.5
Household_0047,Region_B,194.0
Household_0048,Region_B,227.5
Household_0049,Region_C,219.8
Household_0050,Region_A,282.9
Household_0051,Region_A,264.9
Household_0052,Region_A,261.5
Household_0053,Region_C,310.1
Household_0054,Region_C,294.7
Household_0055,Region_C,293.4
Household_0056,Region_C,298.5
Household_0057,Region_B,318.9
Household_0058,Region_C,160.1
Household_0059,Region_A,260.0
Household_0060,Region_A,160.1
Household_0061,Region_C,278.0
Household_0062,Region_B,284.7
Household_0063,Region_C,333.5
Household_0064,Region_C,341.3
Household_0065,Region_C,287.2
Household_0066,Region_C,248.5
Household_0067,Region_C,302.7
Household_0068,Region_B,256.0
Household_0069,Region_A,279.9
Household_0070,Region_B,339.2
Household_0071,Region_A,249.3
Household_0072,Region_B,329.3
Household_0073,Region_D,325.3
Household_0074,Region_A,227.5
Household_0075,Region_A,333.6
Household_0076,Region_B,323.4
Household_0077,Region_B,290.6
Household_0078,Region_C,234.1
Household_0079,Region_C,228.7
Household_0080,Region_C,246.4
Household_0081,Region_C,305.8
Household_0082,Region_B,232.4
Household_0083,Region_D,312.1
Household_0084,Region_A,211.7
Household_0085,Region_A,268.8
Household_0086,Region_A,286.0
Household_0087,Region_C,410.5
Household_0088,Region_B,209.2
Household_0089,Region_A,361.0
Household_0090,Region_B,293.2
Household_0091,Region_A,302.6
Household_0092,Region_C,282.5
Household_0093,Region_B,309.5
Household_0094,Region_B,276.5
Household_0095,Region_B,365.0
Household_0096,Region_C,250.9
Household_0097,Region_B,347.3
Household_0098,Region_A,244.6
Household_0099,Region_A,276.7
Household_0100,Region_D,229.0
Household_0101,Region_D,313.0
Household_0102,Region_C,355.5
Household_0103,Region_A,275.7
Household_0104,Region_D,277.2
Household_0105,Region_C,214.7
Household_0106,Region_C,263.4
Household_0107,Region_B,197.4
Household_0108,Region_A,229.8
Household_0109,Region_A,292.5
Household_0110,Region_D,360.5
Household_0111,Region_B,439.5
Household_0112,Region_A,247.7
Household_0113,Region_B,363.9
Household_0114,Region_C,289.4
Household_0115,Region_A,271.7
Household_0116,Region_D,311.8
Household_0117,Region_C,279.4
Household_0118,Region_C,282.1
Household_0119,Region_B,262.5
Household_0120,Region_C,199.1
Household_0121,Region_C,191.1
Household_0122,Region_C,311.9
Household_0123,Region_A,264.8
Household_0124,Region_B,252.2
Household_0125,Region_A,280.5
Household_0126,Region_B,328.7
Household_0127,Region_B,294.9
Household_0128,Region_A,243.9
Household_0129,Region_A,347.4
Household_0130,Region_C,362.9
Household_0131,Region_A,307.2
Household_0132,Region_D,341.6
Household_0133,Region_C,344.3
Household_0134,Region_B,347.2
Household_0135,Region_C,309.8
