employee_id,department,commute_time_minutes
Employee_0001,Department_C,28.7
Employee_0002,Department_B,55.0
Employee_0003,Department_D,33.8
Employee_0004,Department_C,36.8
Employee_0005,Department_A,35.6
Employee_0006,Department_D,48.8
Employee_0007,Department_C,33.0
Employee_0008,Department_C,37.0
Employee_0009,Department_A,39.4
Employee_0010,Department_B,36.9
Employee_0011,Department_B,50.3
Employee_0012,Department_D,49.6
Employee_0013,Department_C,39.0
Employee_0014,Department_D,42.3
Employee_0015,Department_B,53.8
Employee_0016,Department_A,39.4
Employee_0017,Department_C,36.6
Employee_0018,Department_A,43.2
Employee_0019,Department_D,65.7
Employee_0020,Department_C,25.3
Employee_0021,Department_C,48.5
Employee_0022,Department_B,24.2
Employee_0023,Department_D,49.4
Employee_0024,Department_D,64.3
Employee_0025,Department_C,45.4
Employee_0026,Department_A,43.9
Employee_0027,Department_B,38.8
Employee_0028,Department_A,42.3
Employee_0029,Department_A,39.2
Employee_0030,Department_C,31.4
Employee_0031,Department_C,36.8
Employee_0032,Department_D,49.2
Employee_0033,Department_B,36.6
Employee_0034,Department_B,36.1
Employee_0035,Department_B,30.0
Employee_0036,Department_A,46.3
Employee_0037,Department_A,48.0
Employee_0038,Department_B,47.5
Employee_0039,Department_A,52.6
Employee_0040,Department_C,41.0
Employee_0041,Department_B,49.3
Employee_0042,Department_D,50.3
Employee_0043,Department_C,39.0
Employee_0044,Department_B,39.2
Employee_0045,Department_D,71.4
Employee_0046,Department_D,42.0
Employee_0047,Department_B,37.7
Employee_0048,Department_A,46.8
Employee_0049,Department_C,42.8
Employee_0050,Department_A,26.5
Employee_0051,Department_A,54.3
Employee_0052,Department_A,41.0
Employee_0053,Department_C,27.8
Employee_0054,Department_C,53.1
Employee_0055,Department_C,46.9
Employee_0056,Department_C,26.1
Employee_0057,Department_B,64.5
Employee_0058,Department_C,47.2
Employee_0059,Department_A,41.9
Employee_0060,Department_A,59.5
Employee_0061,Department_C,41.8
Employee_0062,Department_B,44.7
Employee_0063,Department_C,32.7
Employee_0064,Department_C,46.4
Employee_0065,Department_C,45.2
Employee_0066,Department_C,40.2
Employee_0067,Department_C,31.3
Employee_0068,Department_B,46.4
Employee_0069,Department_A,41.2
Employee_0070,Department_B,30.3
Employee_0071,Department_A,25.8
Employee_0072,Department_B,51.2
Employee_0073,Department_D,18.4
Employee_0074,Department_A,44.3
Employee_0075,Department_A,36.7
Employee_0076,Department_A,56.4
Employee_0077,Department_A,36.6
Employee_0078,Department_C,47.3
Employee_0079,Department_C,35.6
Employee_0080,Department_C,41.3
Employee_0081,Department_C,48.1
Employee_0082,Department_B,39.9
Employee_0083,Department_D,58.0
Employee_0084,Department_A,31.1
Employee_0085,Department_A,45.2
Employee_0086,Department_A,52.1
Employee_0087,Department_C,47.3
Employee_0088,Department_B,66.1
Employee_0089,Department_A,33.6
Employee_0090,Department_B,29.8
Employee_0091,Department_A,31.1
Employee_0092,Department_C,47.3
Employee_0093,Department_B,50.5
Employee_0094,Department_B,46.1
Employee_0095,Department_B,32.6
Employee_0096,Department_C,48.4
Employee_0097,Department_B,31.5
Employee_0098,Department_A,54.7
Employee_0099,Department_A,73.4
Employee_0100,Department_D,51.0
Employee_0101,Department_D,53.4
Employee_0102,Department_C,34.6
Employee_0103,Department_A,22.1
Employee_0104,Department_D,40.4
Employee_0105,Department_C,28.0
Employee_0106,Department_C,24.1
Employee_0107,Department_B,63.9
Employee_0108,Department_A,45.0
Employee_0109,Department_A,46.2
Employee_0110,Department_D,43.6
