participant_id,training_method,assessment_score
Participant_001,Method_A,74.4
Participant_002,Method_A,63.7
Participant_003,Method_A,78.0
Participant_004,Method_A,79.5
Participant_005,Method_A,56.4
Participant_006,Method_A,61.6
Participant_007,Method_A,73.0
Participant_008,Method_A,69.5
Participant_009,Method_A,71.9
Participant_010,Method_A,65.2
Participant_011,Method_A,79.0
Participant_012,Method_A,78.2
Participant_013,Method_A,72.5
Participant_014,Method_A,81.0
Participant_015,Method_A,75.7
Participant_016,Method_A,65.1
Participant_017,Method_A,75.0
Participant_018,Method_A,64.3
Participant_019,Method_A,79.0
Participant_020,Method_A,71.6
Participant_021,Method_A,70.5
Participant_022,Method_A,66.6
Participant_023,Method_A,81.8
Participant_024,Method_A,70.8
Participant_025,Method_A,68.6
Participant_026,Method_A,69.2
Participant_027,Method_A,76.3
Participant_028,Method_A,74.9
Participant_029,Method_A,75.3
Participant_030,Method_A,75.4
Participant_031,Method_B,93.1
Participant_032,Method_B,72.7
Participant_033,Method_B,71.9
Participant_034,Method_B,69.5
Participant_035,Method_B,80.9
Participant_036,Method_B,85.0
Participant_037,Method_B,75.1
Participant_038,Method_B,69.3
Participant_039,Method_B,69.4
Participant_040,Method_B,81.2
Participant_041,Method_B,81.9
Participant_042,Method_B,80.3
Participant_043,Method_B,70.7
Participant_044,Method_B,77.9
Participant_045,Method_B,76.9
Participant_046,Method_B,77.7
Participant_047,Method_B,83.0
Participant_048,Method_B,77.8
Participant_049,Method_B,81.4
Participant_050,Method_B,76.5
Participant_051,Method_B,78.3
Participant_052,Method_B,81.1
Participant_053,Method_B,64.3
Participant_054,Method_B,73.4
Participant_055,Method_B,72.2
Participant_056,Method_B,70.9
Participant_057,Method_B,73.8
Participant_058,Method_B,88.0
Participant_059,Method_B,69.1
Participant_060,Method_B,83.7
Participant_061,Method_B,62.5
Participant_062,Method_B,73.3
Participant_063,Method_C,83.5
Participant_064,Method_C,87.3
Participant_065,Method_C,88.4
Participant_066,Method_C,89.1
Participant_067,Method_C,78.9
Participant_068,Method_C,77.8
Participant_069,Method_C,89.7
Participant_070,Method_C,80.3
Participant_071,Method_C,70.5
Participant_072,Method_C,71.8
Participant_073,Method_C,73.7
Participant_074,Method_C,86.5
Participant_075,Method_C,83.3
Participant_076,Method_C,88.2
Participant_077,Method_C,78.2
Participant_078,Method_C,83.4
Participant_079,Method_C,87.6
Participant_080,Method_C,79.2
Participant_081,Method_C,86.1
Participant_082,Method_C,76.0
Participant_083,Method_C,78.7
Participant_084,Method_C,78.6
Participant_085,Method_C,71.2
Participant_086,Method_C,86.4
Participant_087,Method_C,77.8
Participant_088,Method_C,82.1
Participant_089,Method_C,86.3
Participant_090,Method_C,86.0
Participant_091,Method_C,88.0
Participant_092,Method_C,81.1
Participant_093,Method_C,78.2
