student_id,study_hours_per_week,exam_score,leisure_hours_per_day
S001,8.2,82.2,4.2
S002,3.8,59.9,4.1
S003,10.9,92.2,3.7
S004,1.8,56.0,7.8
S005,1.8,57.8,8.0
S006,7.2,74.5,5.9
S007,10.0,96.5,3.5
S008,8.8,75.4,4.4
S009,11.6,85.6,3.2
S010,2.5,62.8,5.0
S011,10.0,80.7,2.0
S012,11.7,80.5,3.7
S013,10.2,71.0,1.8
S014,7.6,73.2,4.0
S015,3.9,60.5,6.2
S016,3.9,66.5,6.2
S017,8.2,70.8,4.9
S018,3.7,58.6,8.0
S019,8.3,72.4,3.6
S020,9.2,83.3,4.6
S021,11.9,82.0,1.6
S022,8.7,85.2,2.3
S023,3.9,68.1,5.9
S024,4.3,67.3,8.0
S025,10.7,79.8,4.6
S026,5.7,75.0,4.4
S027,4.3,62.8,7.0
S028,4.3,47.9,4.4
S029,5.7,72.7,8.0
S030,6.9,73.6,4.8
S031,2.7,47.3,4.8
S032,5.9,75.3,5.4
S033,12.0,67.9,2.1
S034,10.5,96.4,3.3
S035,8.7,71.4,3.7
S036,8.2,82.4,4.8
S037,6.3,85.1,4.2
S038,4.3,57.6,5.6
S039,11.1,90.4,2.3
S040,8.2,72.3,3.7
S041,9.5,66.8,3.1
S042,7.1,79.2,4.5
S043,1.7,68.6,5.6
S044,10.2,81.7,3.7
S045,10.7,87.6,3.0
S046,6.6,82.7,5.5
S047,9.5,86.6,4.5
S048,7.3,71.3,6.6
S049,5.9,70.4,6.3
S050,9.2,81.4,4.6
S051,11.9,83.4,1.7
S052,6.9,75.6,5.1
S053,5.0,60.1,4.9
S054,3.8,71.1,6.4
S055,3.9,74.4,4.5
S056,2.2,56.4,8.0
S057,3.7,73.2,7.7
S058,7.5,59.7,4.7
S059,10.0,83.3,3.9
S060,6.0,60.4,5.5
