employee_id,training_hours,performance_score,experience_years,commute_minutes
E001,7.9,85.0,2.8,39.8
E002,9.0,74.5,1.2,11.5
E003,5.4,76.7,6.2,39.8
E004,0.8,61.1,6.6,57.2
E005,3.0,51.7,0.3,24.4
E006,9.8,82.1,2.0,25.9
E007,11.5,87.7,1.3,43.3
E008,10.2,74.1,8.8,22.6
E009,6.7,82.8,6.7,35.7
E010,10.0,73.3,7.0,19.1
E011,8.6,86.3,3.6,40.9
E012,1.4,59.6,3.5,44.4
E013,7.8,73.3,2.7,48.1
E014,3.6,76.5,7.4,30.2
E015,2.5,61.9,4.7,29.7
E016,11.9,84.2,8.3,24.2
E017,10.2,86.5,0.6,28.0
E018,4.1,66.7,11.3,47.6
E019,10.6,82.2,4.9,56.8
E020,11.0,81.9,3.1,40.8
E021,7.0,75.2,10.8,56.5
E022,5.1,75.6,6.2,85.6
E023,1.5,63.2,7.6,40.0
E024,9.6,81.2,4.7,40.4
E025,12.0,70.1,10.4,31.2
E026,0.6,54.6,6.5,17.2
E027,3.6,63.3,5.3,32.7
E028,5.7,87.8,3.3,29.8
E029,6.3,81.6,10.5,65.9
E030,3.9,59.7,2.0,23.3
E031,9.3,69.4,6.5,32.0
E032,0.5,55.8,11.2,40.5
E033,10.6,90.2,0.9,27.5
E034,10.6,90.0,5.9,36.1
E035,1.3,59.8,1.7,14.2
E036,6.0,67.0,10.5,34.6
E037,5.4,73.6,8.8,54.9
E038,2.8,53.5,7.9,80.3
E039,5.5,67.5,2.9,37.2
E040,4.4,63.3,2.8,32.7
E041,1.3,55.0,10.9,30.6
E042,10.4,91.5,8.1,42.4
E043,3.0,76.6,6.9,62.2
E044,5.9,75.8,2.4,13.2
E045,1.6,52.2,5.7,44.2
E046,8.9,71.0,1.4,5
E047,5.1,61.8,3.1,61.6
E048,2.7,55.2,3.5,42.7
E049,3.4,72.9,10.4,31.0
E050,6.8,100,10.1,54.6
E051,11.6,100,2.2,25.9
E052,6.1,75.1,0.9,51.8
E053,4.9,76.0,9.5,37.0
E054,5.7,54.3,11.9,54.4
E055,6.9,74.8,3.7,30.0
E056,11.6,81.0,9.0,29.6
E057,1.2,50.4,10.3,29.6
E058,2.3,65.1,2.4,36.6
E059,7.3,74.2,1.6,28.9
E060,10.7,87.4,7.5,56.8
E061,5.3,62.5,11.2,29.5
E062,2.8,62.2,4.9,27.9
E063,8.2,77.4,9.1,49.6
E064,1.3,40,12.0,51.1
E065,1.3,60.3,11.2,48.7
E066,10.6,92.4,2.1,28.7
E067,10.1,82.1,11.8,19.6
E068,8.0,93.7,3.7,39.3
E069,8.1,83.3,1.6,35.2
E070,1.7,54.1,7.3,34.3
E071,8.8,84.7,3.3,57.0
E072,6.1,86.1,1.3,22.8
E073,5.4,71.1,9.3,39.2
E074,7.8,77.4,6.7,61.0
E075,5.4,74.4,10.6,38.3
E076,10.9,73.1,7.1,30.5
E077,2.2,66.4,10.8,46.6
E078,9.7,95.1,2.7,15.0
E079,3.4,76.3,10.6,52.7
E080,5.2,67.2,11.2,32.4
