employee_id,training_hours,performance_score
E001,7.9,84.4
E002,3.1,64.6
E003,9.0,74.9
E004,1.5,44.5
E005,5.4,75.9
E006,6.3,74.5
E007,0.8,59.9
E008,6.8,85.4
E009,3.0,51.7
E010,0.6,48.6
E011,9.8,82.2
E012,2.3,54.6
E013,11.5,87.9
E014,1.6,61.8
E015,10.2,74.8
E016,8.9,73.3
E017,6.7,82.0
E018,6.8,73.9
E019,10.0,74.0
E020,7.1,65.9
E021,8.6,85.8
E022,3.8,67.3
E023,1.4,58.7
E024,3.7,68.9
E025,7.8,73.4
E026,2.9,68.4
E027,3.6,75.2
E028,7.5,73.0
E029,2.5,61.2
E030,4.9,64.7
E031,11.9,84.8
E032,8.4,72.7
E033,10.2,86.5
E034,0.9,51.5
E035,4.1,66.1
E036,11.3,94.2
E037,10.6,82.5
E038,5.0,79.6
E039,11.0,82.4
E040,3.3,65.7
E041,7.0,74.9
E042,10.8,97.4
E043,5.1,74.8
E044,6.4,99.4
E045,1.5,62.1
E046,7.7,78.9
E047,9.6,81.4
E048,4.9,70.5
E049,12.0,71.6
E050,10.4,82.6
E051,0.6,53.8
E052,6.7,63.6
E053,3.6,62.9
E054,5.5,68.2
E055,5.7,86.3
E056,3.5,60.5
E057,6.3,80.7
E058,10.5,100
E059,3.9,59.5
E060,2.3,53.3
E061,9.3,70.2
E062,6.6,71.3
E063,0.5,54.9
E064,11.2,90.0
E065,10.6,90.0
E066,1.2,52.1
E067,10.6,89.9
E068,6.1,71.9
E069,1.3,58.9
E070,2.0,47.4
E071,6.0,67.0
E072,10.5,84.7
E073,5.4,73.0
E074,8.9,90.7
E075,2.8,53.4
E076,8.0,100
E077,5.5,67.3
E078,3.1,63.2
E079,4.4,63.0
E080,3.0,60.4
