employee_id,training_hours,experience_years,project_load,performance_score
E001,10.3,11.7,6,86.1
E002,4.3,6.9,5,42.2
E003,4.1,12.9,7,61.1
E004,6.4,10.6,7,66.3
E005,4.1,1.9,6,53.1
E006,10.5,14.6,5,79.3
E007,8.3,11.5,3,64.5
E008,7.2,11.9,3,76.0
E009,7.3,2.4,1,77.1
E010,2.0,7.0,3,46.6
E011,3.0,5.9,7,57.8
E012,4.6,13.9,3,68.2
E013,4.8,9.8,1,68.3
E014,3.0,12.4,5,55.5
E015,6.5,6.9,7,59.0
E016,3.5,3.8,7,59.3
E017,1.7,8.5,2,62.8
E018,0.9,1.4,4,57.4
E019,7.3,12.5,4,81.0
E020,7.8,9.7,2,76.8
E021,11.2,11.5,2,95.1
E022,11.9,5.6,2,81.3
E023,8.1,14.6,7,79.0
E024,4.3,13.5,6,63.1
E025,1.0,11.8,6,56.1
E026,4.6,3.3,6,49.5
E027,3.0,7.3,7,60.1
E028,2.3,1.1,1,45.4
E029,2.2,2.7,7,51.8
E030,5.6,10.4,1,69.9
E031,8.8,11.3,4,83.1
E032,7.5,14.5,5,79.6
E033,4.1,5.2,3,70.9
E034,2.1,5.9,2,61.4
E035,0.9,7.3,2,45.4
E036,2.7,3.2,6,49.3
E037,3.5,2.4,3,47.0
E038,9.5,7.4,3,70.4
E039,4.4,3.8,7,62.6
E040,8.3,10.2,2,79.9
E041,3.7,6.8,7,50.1
E042,3.6,12.6,7,54.4
E043,3.6,10.7,5,61.7
E044,2.6,5.0,2,49.0
E045,11.8,12.6,2,82.0
E046,4.4,12.2,2,71.1
E047,6.8,6.1,5,71.1
E048,2.1,4.7,2,59.3
E049,8.2,10.4,4,58.2
E050,4.7,2.5,1,62.0
E051,3.6,3.4,4,55.0
E052,3.1,0.6,1,56.9
E053,4.7,11.9,5,76.0
E054,7.0,10.1,1,60.5
E055,4.9,10.7,2,64.7
E056,3.2,11.8,2,70.0
E057,1.8,7.2,6,41.9
E058,5.9,8.7,1,79.5
E059,7.7,2.5,4,65.1
E060,4.0,2.2,5,58.2
E061,5.6,10.2,4,63.1
E062,5.8,7.3,5,67.9
E063,8.7,8.7,6,76.4
E064,6.8,11.6,3,74.1
E065,4.7,9.7,6,63.1
E066,8.2,8.5,3,73.9
E067,6.5,8.6,7,57.4
E068,8.2,4.9,4,65.8
E069,3.7,0.9,6,48.4
E070,1.9,6.8,7,53.1
E071,0.6,3.6,6,51.9
E072,8.9,6.4,6,60.5
E073,10.9,12.9,4,81.1
E074,3.6,3.9,1,68.9
E075,2.4,1.3,4,44.8
E076,7.9,4.6,2,63.1
E077,1.6,4.8,7,48.9
E078,3.6,10.1,2,70.5
E079,7.0,8.6,2,71.0
E080,5.3,11.9,2,79.6
E081,5.8,10.1,5,71.6
E082,4.4,6.4,4,65.3
E083,7.3,12.3,7,72.7
E084,7.3,2.9,3,78.9
E085,3.5,0.8,2,52.7
E086,5.1,1.8,1,47.2
E087,0.9,11.0,1,71.8
E088,4.9,7.2,3,60.3
E089,1.7,2.8,7,46.3
E090,2.1,7.8,4,64.8
E091,1.6,2.7,7,35.0
E092,5.1,10.6,1,62.2
E093,7.2,7.0,1,60.5
E094,1.4,6.0,6,44.8
E095,4.4,4.9,1,65.1
E096,4.5,9.6,1,71.2
E097,3.8,5.7,3,60.9
E098,6.0,1.8,7,44.9
E099,5.0,2.2,5,39.9
E100,10.4,14.4,1,87.0
E101,6.4,13.7,6,67.1
E102,4.2,10.6,6,64.7
E103,3.7,4.4,6,57.7
E104,7.7,14.6,7,73.5
E105,6.7,11.8,2,79.0
E106,3.3,10.9,7,60.1
E107,5.2,7.0,3,67.1
E108,4.8,4.4,6,51.3
E109,9.8,1.9,5,64.4
E110,11.5,13.6,6,82.7
E111,2.9,7.1,5,61.2
E112,3.2,3.4,5,49.9
E113,0.7,4.9,5,51.9
E114,4.0,8.9,6,57.4
E115,4.6,3.1,6,53.1
E116,9.6,12.9,1,88.6
E117,4.4,11.5,6,50.1
E118,4.4,10.9,4,56.7
E119,0.5,6.8,3,43.2
E120,5.3,9.6,4,50.3
