employee_id,training_hours,experience_years,project_load,promoted
E001,10.9,2.1,5,0
E002,6.4,13.8,7,1
E003,12.1,3.8,6,1
E004,9.9,1.0,4,0
E005,1.8,8.5,6,1
E006,13.7,5.9,3,0
E007,10.8,12.5,4,1
E008,11.1,12.2,4,0
E009,2.2,5.1,7,0
E010,6.6,14.3,6,1
E011,5.5,4.7,4,0
E012,13.0,8.0,5,0
E013,9.2,4.2,2,0
E014,11.6,14.1,6,0
E015,6.5,2.9,4,0
E016,3.6,1.2,4,0
E017,8.0,6.8,6,0
E018,1.4,14.9,5,0
E019,11.7,13.4,1,1
E020,9.0,11.4,3,0
E021,10.7,13.4,2,1
E022,5.3,13.5,6,0
E023,13.6,8.0,1,1
E024,12.6,5.1,2,1
E025,11.0,11.7,5,0
E026,3.1,10.1,5,0
E027,6.8,5.9,4,0
E028,1.1,1.9,7,0
E029,2.6,11.3,7,0
E030,9.7,4.3,1,1
E031,10.6,14.1,7,1
E032,13.6,4.0,5,1
E033,4.9,2.3,5,0
E034,5.5,12.6,1,1
E035,6.8,2.7,5,0
E036,3.1,3.1,6,0
E037,2.3,9.2,5,0
E038,6.9,13.2,1,1
E039,3.6,3.3,4,0
E040,9.5,5.0,7,0
E041,6.4,11.8,6,1
E042,11.7,14.6,1,1
E043,10.0,7.8,7,1
E044,4.7,2.6,7,0
E045,11.7,0.7,2,0
E046,11.4,3.8,6,1
E047,5.7,2.4,3,1
E048,4.4,10.3,5,0
E049,9.7,2.3,4,0
E050,2.4,7.8,6,0
E051,3.2,10.6,7,0
E052,0.6,8.9,6,0
E053,11.1,3.4,7,0
E054,9.5,12.2,7,0
E055,10.0,10.9,1,1
E056,11.0,11.2,2,1
E057,6.7,2.4,6,1
E058,8.2,2.3,5,0
E059,2.4,13.9,1,1
E060,2.0,6.3,1,0
E061,9.5,4.9,4,0
E062,6.9,7.6,5,0
E063,8.1,10.1,2,1
E064,10.8,14.4,2,1
E065,9.1,4.7,1,1
E066,8.0,13.9,4,1
E067,8.0,0.9,1,0
E068,4.6,8.6,5,1
E069,0.9,9.7,4,0
E070,6.4,2.0,4,0
E071,3.4,2.5,5,0
E072,6.0,6.6,4,0
E073,12.0,14.5,6,1
E074,3.7,9.1,6,0
E075,1.3,14.0,7,0
E076,4.3,12.2,6,0
E077,4.5,7.3,4,0
E078,9.4,11.9,4,1
E079,8.0,0.8,2,0
E080,11.1,2.1,5,0
E081,9.5,12.5,1,1
E082,6.0,12.1,7,0
E083,11.5,3.9,6,0
E084,2.8,8.2,1,0
E085,0.8,9.3,6,0
E086,1.7,13.1,1,0
E087,10.3,9.2,6,0
E088,6.7,6.5,1,0
E089,2.7,5.9,4,0
E090,7.3,6.7,5,0
E091,2.6,10.0,6,0
E092,9.9,13.1,3,0
E093,6.5,7.1,7,0
E094,5.6,4.1,6,0
E095,4.6,3.9,2,0
E096,9.0,11.3,5,0
E097,5.4,12.3,6,0
E098,1.7,2.0,3,0
E099,2.1,1.5,6,0
E100,13.5,9.1,7,0
E101,12.8,2.6,6,1
E102,9.9,12.5,6,1
E103,4.1,5.0,5,1
E104,13.6,2.6,2,1
E105,11.0,13.9,6,1
E106,10.2,2.9,3,1
E107,6.6,4.6,4,0
E108,4.2,2.7,3,0
E109,1.8,2.2,3,0
E110,12.7,0.8,2,0
E111,6.7,1.3,7,0
E112,3.2,3.0,2,0
E113,4.6,1.3,1,0
E114,8.3,9.1,7,0
E115,2.9,10.4,4,0
E116,12.1,6.2,4,0
E117,10.7,5.1,6,0
E118,10.2,7.8,3,1
E119,6.3,13.2,1,0
E120,9.0,12.8,6,1
E121,8.4,1.1,2,1
E122,9.3,3.1,4,0
E123,1.6,3.9,7,0
E124,6.1,4.1,7,0
E125,1.1,8.8,3,0
E126,7.2,6.5,6,0
E127,5.0,1.2,5,1
E128,2.5,5.9,4,1
E129,1.9,8.1,1,0
E130,8.4,2.0,3,0
E131,2.8,12.6,5,0
E132,13.0,1.3,7,0
E133,8.3,13.9,1,1
E134,5.2,1.9,6,0
E135,8.5,12.7,6,0
E136,0.8,13.6,7,0
E137,13.4,14.7,3,1
E138,7.0,12.1,1,1
E139,11.1,11.8,2,1
E140,1.6,9.8,6,0
E141,7.1,11.8,7,1
E142,7.1,2.5,5,0
E143,13.2,8.3,1,0
E144,8.2,8.0,1,1
E145,6.9,12.9,4,0
E146,4.1,7.2,5,0
E147,5.0,6.1,1,0
E148,7.5,9.8,5,0
E149,6.4,4.4,4,0
E150,0.8,2.5,1,0
E151,11.7,7.4,1,1
E152,12.6,6.5,4,1
E153,2.4,3.9,6,0
E154,8.0,5.8,6,1
E155,2.0,5.8,4,0
E156,9.6,5.2,3,0
E157,4.3,6.0,7,0
E158,9.4,10.4,4,0
E159,10.3,4.8,3,1
E160,10.9,14.3,4,1
