employee_id,group,completion_time_minutes,score_before,score_after,satisfaction_level,response_time_minutes
E001,A,45.6,87,91,4,49.3
E002,A,52.7,61,63,2,68.0
E003,A,43.0,76,78,4,44.3
E004,A,41.1,60,63,2,67.7
E005,A,55.0,76,81,3,54.9
E006,A,42.2,71,78,2,64.6
E007,A,48.0,67,70,2,73.2
E008,A,46.5,68,66,1,69.0
E009,A,55.0,62,68,5,30.7
E010,A,39.0,72,74,1,81.4
E011,A,61.6,64,71,1,76.8
E012,A,36.2,57,57,5,51.7
E013,A,49.1,56,58,3,53.0
E014,A,47.2,70,78,3,56.7
E015,A,35.3,82,83,4,49.0
E016,A,50.4,69,69,2,62.8
E017,A,39.9,67,68,1,70.5
E018,A,32.3,71,74,4,55.0
E019,A,52.6,80,81,1,68.7
E020,A,29.4,70,68,3,51.9
E021,A,33.8,64,67,5,38.5
E022,A,42.9,78,80,5,47.2
E023,A,54.9,72,74,2,63.1
E024,A,51.5,82,89,4,44.5
E025,A,45.3,70,73,4,47.1
E026,A,27.4,57,59,3,60.0
E027,A,35.8,56,60,1,73.2
E028,A,37.9,83,90,2,75.7
E029,A,31.9,84,92,4,58.2
E030,A,26.0,66,67,5,38.5
E031,A,43.5,65,69,1,96.0
E032,A,52.0,81,85,4,48.8
E033,A,37.1,58,58,5,48.8
E034,A,54.6,60,63,5,41.8
E035,A,28.6,74,78,3,59.6
E036,A,31.4,64,64,1,68.1
E037,A,43.2,68,69,2,60.6
E038,A,36.2,67,69,5,37.5
E039,A,50.6,71,72,5,49.1
E040,A,47.9,81,88,4,50.9
E041,B,31.8,69,67,1,73.5
E042,B,25.1,74,79,1,80.2
E043,B,30.8,50,49,3,66.7
E044,B,41.7,68,74,3,57.4
E045,B,44.4,60,64,1,76.9
E046,B,31.2,57,64,4,49.0
E047,B,22.3,60,65,3,57.0
E048,B,24.3,65,70,1,71.0
E049,B,40.6,76,81,1,70.6
E050,B,31.7,56,61,3,62.2
E051,B,31.9,68,70,4,57.9
E052,B,26.9,64,69,5,37.5
E053,B,26.8,65,71,3,55.4
E054,B,47.0,77,84,2,58.6
E055,B,41.1,73,76,5,31.3
E056,B,29.7,80,83,3,70.1
E057,B,36.5,67,70,2,62.2
E058,B,38.5,62,64,3,85.6
E059,B,60.6,66,65,1,72.0
E060,B,26.2,70,75,2,59.2
E061,B,38.3,70,75,3,58.0
E062,B,46.9,58,58,5,45.8
E063,B,57.9,69,73,4,53.7
E064,B,29.3,70,71,4,55.9
E065,B,31.6,91,95,3,52.2
E066,B,43.9,85,86,1,87.8
E067,B,23.4,60,65,2,79.6
E068,B,39.5,65,68,5,53.2
E069,B,69.1,55,63,1,77.2
E070,B,40.8,63,69,5,37.1
E071,B,20.4,71,76,4,45.6
E072,B,27.8,79,83,2,59.2
E073,B,29.5,61,64,4,45.1
E074,B,50.7,62,69,5,30.7
E075,B,33.9,49,54,1,67.9
E076,B,22.3,67,71,1,77.1
E077,B,35.1,58,63,4,46.7
E078,B,37.2,63,69,5,40.8
E079,B,30.5,60,64,1,81.0
E080,B,26.7,67,73,4,51.2
