delivery_id,delivery_time_minutes,distance_km,orders_in_batch,satisfaction_score
D001,37.3,15.7,8,2
D002,41.8,11.2,7,2
D003,35.6,10.3,2,3
D004,34.4,11.5,6,4
D005,43.3,16.8,6,3
D006,35.1,21.9,3,4
D007,38.9,12.2,6,4
D008,37.9,7.3,8,4
D009,43.3,7.1,7,3
D010,33.0,19.0,7,5
D011,47.4,20.7,6,3
D012,31.1,4.0,3,3
D013,39.5,3.1,7,3
D014,38.3,15.5,3,2
D015,30.5,4.9,5,3
D016,40.4,20.9,3,3
D017,33.5,8.8,3,4
D018,28.4,4.9,2,5
D019,41.8,23.1,8,2
D020,26.3,5.4,2,4
D021,29.4,8.2,1,3
D022,35.5,5.1,8,4
D023,43.2,4.2,5,3
D024,41.1,2.0,4,2
D025,37.1,2.8,6,4
D026,24.9,5.6,4,4
D027,30.8,2.8,2,3
D028,32.2,15.4,6,3
D029,28.1,17.5,2,4
D030,23.8,10.8,5,4
D031,35.9,9.0,8,3
D032,41.4,13.4,8,3
D033,31.7,22.1,3,4
D034,43.1,21.5,7,4
D035,25.8,2.5,5,4
D036,27.8,5.8,4,3
D037,35.8,7.1,2,4
D038,31.1,7.4,4,4
D039,40.5,14.9,6,4
D040,38.8,11.3,8,4
D041,31.6,2.7,1,4
D042,26.2,10.3,6,4
D043,30.8,13.8,7,5
D044,39.0,3.9,8,5
D045,40.9,21.1,4,3
D046,31.1,2.7,1,4
D047,23.8,23.2,3,5
D048,25.5,3.8,7,4
D049,38.2,21.3,8,4
D050,31.5,22.7,6,4
D051,31.6,24.5,1,4
D052,27.7,20.3,1,3
D053,27.6,19.8,4,3
D054,42.9,16.6,5,2
D055,38.5,19.8,1,3
D056,29.9,4.7,6,4
D057,35.1,14.1,5,3
D058,36.6,13.6,1,5
D059,52.5,21.7,1,3
D060,27.2,12.4,4,3
D061,36.5,10.5,6,4
D062,42.8,16.5,7,3
D063,50.6,7.8,4,3
D064,29.6,4.8,3,4
D065,31.4,12.7,8,4
D066,40.6,11.3,4,3
D067,24.8,7.0,3,5
D068,37.4,10.1,4,3
D069,58.4,10.1,1,2
D070,38.3,9.2,3,5
D071,22.1,10.4,5,4
D072,28.4,17.6,8,5
D073,29.8,8.5,6,4
D074,45.5,23.8,7,3
D075,33.2,23.0,5,4
D076,23.9,12.8,1,4
D077,34.0,9.2,4,3
D078,35.6,14.1,8,4
D079,30.6,21.4,1,3
D080,27.5,16.8,8,4
D081,60.5,20.4,6,3
D082,42.8,14.0,3,3
D083,43.9,16.4,7,3
D084,33.2,8.3,7,4
D085,29.5,18.8,1,4
D086,30.9,6.3,1,4
D087,25.8,17.8,6,3
D088,52.2,21.7,8,2
D089,33.5,4.6,1,2
D090,48.5,15.9,6,2
D091,31.2,3.7,2,5
D092,38.5,18.6,6,4
D093,36.1,3.5,5,3
D094,25.3,23.5,1,3
D095,54.3,4.7,6,1
D096,31.4,24.0,8,3
D097,26.7,20.3,7,5
D098,40.7,15.5,1,4
D099,34.5,19.9,2,3
D100,37.6,20.2,2,4
D101,35.3,23.7,4,3
D102,22.4,7.5,2,4
D103,28.2,15.4,7,4
D104,28.0,3.7,7,4
D105,43.7,16.0,7,4
D106,34.8,5.5,2,4
D107,39.1,14.8,1,4
D108,31.8,15.0,8,3
D109,39.6,12.5,3,4
D110,33.2,13.8,6,5
D111,32.6,19.5,8,3
D112,36.1,20.3,1,3
D113,35.3,13.1,1,4
D114,67.1,15.6,1,2
D115,28.2,23.4,2,5
D116,24.8,4.3,1,4
D117,37.4,4.3,7,4
D118,29.0,3.6,5,4
D119,22.1,17.0,8,4
D120,26.9,11.3,7,5
